,pid,grp,duration
251,251,Begin,1
251,251,Peru,4
251,251,Begin,1
252,252,Begin,1
252,252,Brazil,4
252,252,Begin,1
253,253,Begin,1
253,253,US,4
253,253,Begin,1
254,254,Begin,1
254,254,US,4
254,254,Begin,1
255,255,Begin,1
255,255,Colombia,4
255,255,Begin,1
256,256,Begin,1
256,256,US,4
256,256,Begin,1
257,257,Begin,1
257,257,US,4
257,257,Begin,1
258,258,Begin,1
258,258,Chile,4
258,258,Begin,1
259,259,Begin,1
259,259,Mexico,4
259,259,Begin,1
260,260,Begin,1
260,260,US,4
260,260,Begin,1
261,261,Begin,1
261,261,Mexico,4
261,261,Begin,1
262,262,Begin,1
262,262,Mexico,4
262,262,Begin,1
263,263,Begin,1
263,263,Colombia,4
263,263,Begin,1
264,264,Begin,1
264,264,Colombia,4
264,264,Begin,1
265,265,Begin,1
265,265,Chile,4
265,265,Begin,1
266,266,Begin,1
266,266,Other,4
266,266,Begin,1
267,267,Begin,1
267,267,Peru,4
267,267,Begin,1
268,268,Begin,1
268,268,US,4
268,268,Begin,1
269,269,Begin,1
269,269,Colombia,4
269,269,Begin,1
270,270,Begin,1
270,270,Brazil,4
270,270,Begin,1
271,271,Begin,1
271,271,Mexico,4
271,271,Begin,1
272,272,Begin,1
272,272,US,4
272,272,Begin,1
273,273,Begin,1
273,273,Mexico,4
273,273,Begin,1
274,274,Begin,1
274,274,Colombia,4
274,274,Begin,1
275,275,Begin,1
275,275,US,4
275,275,Begin,1
276,276,Begin,1
276,276,Mexico,4
276,276,Begin,1
277,277,Begin,1
277,277,Mexico,4
277,277,Begin,1
278,278,Begin,1
278,278,Peru,4
278,278,Begin,1
279,279,Begin,1
279,279,Brazil,4
279,279,Begin,1
280,280,Begin,1
280,280,Mexico,4
280,280,Begin,1
281,281,Begin,1
281,281,Peru,4
281,281,Begin,1
282,282,Begin,1
282,282,US,4
282,282,Begin,1
283,283,Begin,1
283,283,Other,4
283,283,Begin,1
284,284,Begin,1
284,284,Other,4
284,284,Begin,1
285,285,Begin,1
285,285,Mexico,4
285,285,Begin,1
286,286,Begin,1
286,286,Mexico,4
286,286,Begin,1
287,287,Begin,1
287,287,Chile,4
287,287,Begin,1
288,288,Begin,1
288,288,Mexico,4
288,288,Begin,1
289,289,Begin,1
289,289,Mexico,4
289,289,Begin,1
290,290,Begin,1
290,290,US,4
290,290,Begin,1
291,291,Begin,1
291,291,US,4
291,291,Begin,1
292,292,Begin,1
292,292,Mexico,4
292,292,Begin,1
293,293,Begin,1
293,293,US,4
293,293,Begin,1
294,294,Begin,1
294,294,Mexico,4
294,294,Begin,1
295,295,Begin,1
295,295,Peru,4
295,295,Begin,1
296,296,Begin,1
296,296,US,4
296,296,Begin,1
297,297,Begin,1
297,297,Brazil,4
297,297,Begin,1
298,298,Begin,1
298,298,Peru,4
298,298,Begin,1
299,299,Begin,1
299,299,Mexico,4
299,299,Begin,1
300,300,Begin,1
300,300,US,4
300,300,Begin,1
301,301,Begin,1
301,301,Chile,4
301,301,Begin,1
302,302,Begin,1
302,302,Mexico,4
302,302,Begin,1
303,303,Begin,1
303,303,Brazil,4
303,303,Begin,1
304,304,Begin,1
304,304,Colombia,4
304,304,Begin,1
305,305,Begin,1
305,305,Chile,4
305,305,Begin,1
306,306,Begin,1
306,306,Peru,4
306,306,Begin,1
307,307,Begin,1
307,307,Mexico,4
307,307,Begin,1
308,308,Begin,1
308,308,US,4
308,308,Begin,1
309,309,Begin,1
309,309,Mexico,4
309,309,Begin,1
310,310,Begin,1
310,310,Other,4
310,310,Begin,1
311,311,Begin,1
311,311,Mexico,4
311,311,Begin,1
312,312,Begin,1
312,312,US,4
312,312,Begin,1
313,313,Begin,1
313,313,Other,4
313,313,Begin,1
314,314,Begin,1
314,314,Mexico,4
314,314,Begin,1
315,315,Begin,1
315,315,Mexico,4
315,315,Begin,1
316,316,Begin,1
316,316,Colombia,4
316,316,Begin,1
317,317,Begin,1
317,317,Mexico,4
317,317,Begin,1
318,318,Begin,1
318,318,Other,4
318,318,Begin,1
319,319,Begin,1
319,319,Other,4
319,319,Begin,1
320,320,Begin,1
320,320,Mexico,4
320,320,Begin,1
321,321,Begin,1
321,321,Peru,4
321,321,Begin,1
322,322,Begin,1
322,322,Chile,4
322,322,Begin,1
323,323,Begin,1
323,323,US,4
323,323,Begin,1
324,324,Begin,1
324,324,Mexico,4
324,324,Begin,1
325,325,Begin,1
325,325,Peru,4
325,325,Begin,1
326,326,Begin,1
326,326,Chile,4
326,326,Begin,1
327,327,Begin,1
327,327,Colombia,4
327,327,Begin,1
328,328,Begin,1
328,328,US,4
328,328,Begin,1
329,329,Begin,1
329,329,Mexico,4
329,329,Begin,1
330,330,Begin,1
330,330,Chile,4
330,330,Begin,1
331,331,Begin,1
331,331,Peru,4
331,331,Begin,1
332,332,Begin,1
332,332,US,4
332,332,Begin,1
333,333,Begin,1
333,333,Peru,4
333,333,Begin,1
334,334,Begin,1
334,334,Brazil,4
334,334,Begin,1
335,335,Begin,1
335,335,US,4
335,335,Begin,1
336,336,Begin,1
336,336,Mexico,4
336,336,Begin,1
337,337,Begin,1
337,337,Peru,4
337,337,Begin,1
338,338,Begin,1
338,338,Mexico,4
338,338,Begin,1
339,339,Begin,1
339,339,Peru,4
339,339,Begin,1
340,340,Begin,1
340,340,Mexico,4
340,340,Begin,1
341,341,Begin,1
341,341,US,4
341,341,Begin,1
342,342,Begin,1
342,342,Colombia,4
342,342,Begin,1
343,343,Begin,1
343,343,Peru,4
343,343,Begin,1
344,344,Begin,1
344,344,Mexico,4
344,344,Begin,1
345,345,Begin,1
345,345,Peru,4
345,345,Begin,1
346,346,Begin,1
346,346,Peru,4
346,346,Begin,1
347,347,Begin,1
347,347,Mexico,4
347,347,Begin,1
348,348,Begin,1
348,348,Chile,4
348,348,Begin,1
349,349,Begin,1
349,349,Mexico,4
349,349,Begin,1
350,350,Begin,1
350,350,Colombia,4
350,350,Begin,1
351,351,Begin,1
351,351,Other,4
351,351,Begin,1
352,352,Begin,1
352,352,Peru,4
352,352,Begin,1
353,353,Begin,1
353,353,Mexico,4
353,353,Begin,1
354,354,Begin,1
354,354,US,4
354,354,Begin,1
355,355,Begin,1
355,355,Brazil,4
355,355,Begin,1
356,356,Begin,1
356,356,Other,4
356,356,Begin,1
357,357,Begin,1
357,357,Chile,4
357,357,Begin,1
358,358,Begin,1
358,358,Mexico,4
358,358,Begin,1
359,359,Begin,1
359,359,Chile,4
359,359,Begin,1
360,360,Begin,1
360,360,Colombia,4
360,360,Begin,1
361,361,Begin,1
361,361,Other,4
361,361,Begin,1
362,362,Begin,1
362,362,Mexico,4
362,362,Begin,1
363,363,Begin,1
363,363,Colombia,4
363,363,Begin,1
364,364,Begin,1
364,364,Peru,4
364,364,Begin,1
365,365,Begin,1
365,365,Mexico,4
365,365,Begin,1
366,366,Begin,1
366,366,US,4
366,366,Begin,1
367,367,Begin,1
367,367,Other,4
367,367,Begin,1
368,368,Begin,1
368,368,Peru,4
368,368,Begin,1
369,369,Begin,1
369,369,Mexico,4
369,369,Begin,1
370,370,Begin,1
370,370,Peru,4
370,370,Begin,1
371,371,Begin,1
371,371,US,4
371,371,Begin,1
372,372,Begin,1
372,372,Peru,4
372,372,Begin,1
373,373,Begin,1
373,373,Peru,4
373,373,Begin,1
374,374,Begin,1
374,374,Mexico,4
374,374,Begin,1
375,375,Begin,1
375,375,Brazil,4
375,375,Begin,1
376,376,Begin,1
376,376,Chile,4
376,376,Begin,1
377,377,Begin,1
377,377,Mexico,4
377,377,Begin,1
378,378,Begin,1
378,378,Peru,4
378,378,Begin,1
379,379,Begin,1
379,379,Mexico,4
379,379,Begin,1
380,380,Begin,1
380,380,US,4
380,380,Begin,1
381,381,Begin,1
381,381,Other,4
381,381,Begin,1
382,382,Begin,1
382,382,Other,4
382,382,Begin,1
383,383,Begin,1
383,383,Mexico,4
383,383,Begin,1
384,384,Begin,1
384,384,Chile,4
384,384,Begin,1
385,385,Begin,1
385,385,Mexico,4
385,385,Begin,1
386,386,Begin,1
386,386,Mexico,4
386,386,Begin,1
387,387,Begin,1
387,387,Peru,4
387,387,Begin,1
388,388,Begin,1
388,388,Mexico,4
388,388,Begin,1
389,389,Begin,1
389,389,Chile,4
389,389,Begin,1
390,390,Begin,1
390,390,Peru,4
390,390,Begin,1
391,391,Begin,1
391,391,Mexico,4
391,391,Begin,1
392,392,Begin,1
392,392,Mexico,4
392,392,Begin,1
393,393,Begin,1
393,393,Peru,4
393,393,Begin,1
394,394,Begin,1
394,394,Mexico,4
394,394,Begin,1
395,395,Begin,1
395,395,US,4
395,395,Begin,1
396,396,Begin,1
396,396,Colombia,4
396,396,Begin,1
397,397,Begin,1
397,397,Mexico,4
397,397,Begin,1
398,398,Begin,1
398,398,US,4
398,398,Begin,1
399,399,Begin,1
399,399,Peru,4
399,399,Begin,1
400,400,Begin,1
400,400,Brazil,4
400,400,Begin,1
401,401,Begin,1
401,401,Mexico,4
401,401,Begin,1
402,402,Begin,1
402,402,Other,4
402,402,Begin,1
403,403,Begin,1
403,403,Peru,4
403,403,Begin,1
404,404,Begin,1
404,404,Other,4
404,404,Begin,1
405,405,Begin,1
405,405,Peru,4
405,405,Begin,1
406,406,Begin,1
406,406,Chile,4
406,406,Begin,1
407,407,Begin,1
407,407,Other,4
407,407,Begin,1
408,408,Begin,1
408,408,Chile,4
408,408,Begin,1
409,409,Begin,1
409,409,Mexico,4
409,409,Begin,1
410,410,Begin,1
410,410,Peru,4
410,410,Begin,1
411,411,Begin,1
411,411,Peru,4
411,411,Begin,1
412,412,Begin,1
412,412,Colombia,4
412,412,Begin,1
413,413,Begin,1
413,413,Chile,4
413,413,Begin,1
414,414,Begin,1
414,414,Peru,4
414,414,Begin,1
415,415,Begin,1
415,415,Chile,4
415,415,Begin,1
416,416,Begin,1
416,416,US,4
416,416,Begin,1
417,417,Begin,1
417,417,Mexico,4
417,417,Begin,1
418,418,Begin,1
418,418,Mexico,4
418,418,Begin,1
419,419,Begin,1
419,419,Brazil,4
419,419,Begin,1
420,420,Begin,1
420,420,US,4
420,420,Begin,1
421,421,Begin,1
421,421,Peru,4
421,421,Begin,1
422,422,Begin,1
422,422,Peru,4
422,422,Begin,1
423,423,Begin,1
423,423,Peru,4
423,423,Begin,1
424,424,Begin,1
424,424,Peru,4
424,424,Begin,1
425,425,Begin,1
425,425,Chile,4
425,425,Begin,1
426,426,Begin,1
426,426,Brazil,4
426,426,Begin,1
427,427,Begin,1
427,427,Other,4
427,427,Begin,1
428,428,Begin,1
428,428,Mexico,4
428,428,Begin,1
429,429,Begin,1
429,429,US,4
429,429,Begin,1
430,430,Begin,1
430,430,Peru,4
430,430,Begin,1
431,431,Begin,1
431,431,US,4
431,431,Begin,1
432,432,Begin,1
432,432,Colombia,4
432,432,Begin,1
433,433,Begin,1
433,433,US,4
433,433,Begin,1
434,434,Begin,1
434,434,Brazil,4
434,434,Begin,1
435,435,Begin,1
435,435,Peru,4
435,435,Begin,1
436,436,Begin,1
436,436,Other,4
436,436,Begin,1
437,437,Begin,1
437,437,Colombia,4
437,437,Begin,1
438,438,Begin,1
438,438,Peru,4
438,438,Begin,1
439,439,Begin,1
439,439,Peru,4
439,439,Begin,1
440,440,Begin,1
440,440,Mexico,4
440,440,Begin,1
441,441,Begin,1
441,441,Chile,4
441,441,Begin,1
442,442,Begin,1
442,442,Mexico,4
442,442,Begin,1
443,443,Begin,1
443,443,Other,4
443,443,Begin,1
444,444,Begin,1
444,444,Peru,4
444,444,Begin,1
445,445,Begin,1
445,445,Other,4
445,445,Begin,1
446,446,Begin,1
446,446,Chile,4
446,446,Begin,1
447,447,Begin,1
447,447,Peru,4
447,447,Begin,1
448,448,Begin,1
448,448,Peru,4
448,448,Begin,1
449,449,Begin,1
449,449,Colombia,4
449,449,Begin,1
450,450,Begin,1
450,450,Chile,4
450,450,Begin,1
451,451,Begin,1
451,451,Peru,4
451,451,Begin,1
452,452,Begin,1
452,452,Mexico,4
452,452,Begin,1
453,453,Begin,1
453,453,Other,4
453,453,Begin,1
454,454,Begin,1
454,454,Mexico,4
454,454,Begin,1
455,455,Begin,1
455,455,Brazil,4
455,455,Begin,1
456,456,Begin,1
456,456,Brazil,4
456,456,Begin,1
457,457,Begin,1
457,457,Brazil,4
457,457,Begin,1
458,458,Begin,1
458,458,Mexico,4
458,458,Begin,1
459,459,Begin,1
459,459,Other,4
459,459,Begin,1
460,460,Begin,1
460,460,Peru,4
460,460,Begin,1
461,461,Begin,1
461,461,Mexico,4
